 barcode ;Productos ;marca;Categoría;precio;stock;foto_url;foto_estado
 7.790.250.042.860 ;Pañal BABYSEC Premium Soft hiper XG x32u;BABYSEC;Almacen;13903.00;149;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Premium+Soft+hiper+XG+x32u;
 7.790.250.042.792 ;Pañal BABYSEC Premium Soft hiper M x48u;BABYSEC;Almacen;13903.00;150;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Premium+Soft+hiper+M+x48u;
 7.790.250.042.914 ;Pañal BABYSEC Premium Soft jumbo G x60u;BABYSEC;Almacen;15345.00;151;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Premium+Soft+jumbo+G+x60u;
 7.790.250.042.921 ;Pañal BABYSEC Premium Soft jumbo XG x48u;BABYSEC;Almacen;15345.00;152;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Premium+Soft+jumbo+XG+x48u;
 7.790.250.040.767 ;Pañal BABYSEC Ultra Soft reg M x8u;BABYSEC;Almacen;2882.00;153;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Ultra+Soft+reg+M+x8u;
 7.790.250.042.051 ;Pañal BABYSEC Ultra Soft hiper M x48u;BABYSEC;Almacen;11108.01;154;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Ultra+Soft+hiper+M+x48u;
 7.790.250.042.068 ;Pañal BABYSEC Ultra Soft hiper G x40u;BABYSEC;Almacen;11108.01;155;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Ultra+Soft+hiper+G+x40u;
 7.790.250.042.075 ;Pañal BABYSEC Ultra Soft hiper XG x32u;BABYSEC;Almacen;11108.01;156;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Ultra+Soft+hiper+XG+x32u;
 7.790.250.042.082 ;Pañal BABYSEC Ultra Soft hiper XXG x30u;BABYSEC;Almacen;11108.01;157;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Ultra+Soft+hiper+XXG+x30u;
 7.790.250.042.969 ;Pañal BABYSEC Premium Soft reg G x8u;BABYSEC;Almacen;4407.00;158;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Premium+Soft+reg+G+x8u;
 7.790.250.042.877 ;Pañal BABYSEC Premium Soft reg XG x8u;BABYSEC;Almacen;4407.00;159;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Premium+Soft+reg+XG+x8u;
 7.790.250.042.907 ;Pañal BABYSEC Premium Soft reg XXG x8u;BABYSEC;Almacen;4407.00;160;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Premium+Soft+reg+XXG+x8u;
 7.790.250.042.754 ;Pañal BABYSEC Premium Soft reg P x12u;BABYSEC;Almacen;4407.00;161;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Premium+Soft+reg+P+x12u;
 7.790.250.042.952 ;Pañal BABYSEC Premium Soft reg M x8u;BABYSEC;Almacen;4407.00;162;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Premium+Soft+reg+M+x8u;
 7.790.250.040.859 ;Pañal BABYSEC Ultra Soft jumbo M x68u;BABYSEC;Almacen;14624.00;163;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Ultra+Soft+jumbo+M+x68u;
 7.790.250.040.866 ;Pañal BABYSEC Ultra Soft jumbo G x60u;BABYSEC;Almacen;14624.00;164;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Ultra+Soft+jumbo+G+x60u;
 7.790.250.040.873 ;Pañal BABYSEC Ultra Soft jumbo XG x52u;BABYSEC;Almacen;14624.00;165;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Ultra+Soft+jumbo+XG+x52u;
 7.790.250.040.880 ;Pañal BABYSEC Ultra Soft jumbo XXG x50u;BABYSEC;Almacen;14624.00;166;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Ultra+Soft+jumbo+XXG+x50u;
 7.790.250.042.198 ;Pañal BABYSEC Super Premium P X30u;BABYSEC;Almacen;24203.00;167;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Super+Premium+P+X30u;
 7.790.250.042.181 ;Pañal BABYSEC Super Premium M x48u;BABYSEC;Almacen;21628.00;168;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Super+Premium+M+x48u;
 7.790.250.042.174 ;Pañal BABYSEC Super Premium G x60u;BABYSEC;Almacen;21628.00;169;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Super+Premium+G+x60u;
 7.790.250.042.167 ;Pañal BABYSEC Super Premium XG x48u;BABYSEC;Almacen;21628.00;170;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Super+Premium+XG+x48u;
 7.790.250.042.150 ;Pañal BABYSEC Super Premium XXG x44u;BABYSEC;Almacen;21628.00;171;https://www.google.com/search?tbm=isch&q=Pañal+BABYSEC+Super+Premium+XXG+x44u;
 7.896.061.990.687 ;Toa hum BABYSEC ultra fresh x50u;BABYSEC;Almacen;3105.01;172;https://www.google.com/search?tbm=isch&q=Toa+hum+BABYSEC+ultra+fresh+x50u;
 7.610.113.024.362 ;Ron BACARDI blanco x700cc;BACARDI;Almacen;18998.00;173;https://www.google.com/search?tbm=isch&q=Ron+BACARDI+blanco+x700cc;
 7.610.113.025.024 ;Ron BACARDI oro x700cc;BACARDI;Almacen;18998.00;174;https://www.google.com/search?tbm=isch&q=Ron+BACARDI+oro+x700cc;
 7.790.036.000.572 ;Jugo BAGGIO PRONTO manzana roja x200cc;BAGGIO;Almacen;658.00;175;https://www.google.com/search?tbm=isch&q=Jugo+BAGGIO+PRONTO+manzana+roja+x200cc;
 7.790.040.136.250 ;Galletitas CEREALES BAGLEY salvadox169g;BAGLEY;Almacen;1282.00;176;https://www.google.com/search?tbm=isch&q=Galletitas+CEREALES+BAGLEY+salvadox169g;
 7.790.040.136.243 ;Galletitas CEREALES BAGLEY salv.3ux169gr;BAGLEY;Almacen;3397.00;177;https://www.google.com/search?tbm=isch&q=Galletitas+CEREALES+BAGLEY+salv.3ux169gr;
 7.795.933.000.298 ;Atun BAHIA desmenuzado al natural x170gr;BAHIA;Almacen;1405.00;178;https://www.google.com/search?tbm=isch&q=Atun+BAHIA+desmenuzado+al+natural+x170gr;
