 barcode ;Productos ;marca;Categoría;precio;stock;foto_url;foto_estado
 7.791.120.032.561 ;Arroz largo fino 53 x500gr;53;Almacen;550.01;1;https://www.google.com/search?tbm=isch&q=Arroz+largo+fino+53+x500gr;
 7.791.120.032.554 ;Arroz largo fino 53 x1kg;53;Almacen;1090.00;2;https://www.google.com/search?tbm=isch&q=Arroz+largo+fino+53+x1kg;
 7.790.139.002.886 ;Fernet 1882 x450cc;1882;Almacen;5797.00;3;https://www.google.com/search?tbm=isch&q=Fernet+1882+x450cc;
 7.798.167.041.334 ;Fernet con cola 1882 x473cc;1882;Almacen;1542.99;4;https://www.google.com/search?tbm=isch&q=Fernet+con+cola+1882+x473cc;
 7.798.167.043.741 ;Fernet 1882 x1 lt;1882;Almacen;8238.00;5;https://www.google.com/search?tbm=isch&q=Fernet+1882+x1+lt;
 7.792.798.013.951 ;Cerveza 1890 rubia lata x473cc;1890;Almacen;1817.00;6;https://www.google.com/search?tbm=isch&q=Cerveza+1890+rubia+lata+x473cc;
 7.790.154.000.485 ;Sidra 1930 demi sec x750cc;1930;Almacen;4633.01;7;https://www.google.com/search?tbm=isch&q=Sidra+1930+demi+sec+x750cc;
 7.790.154.008.078 ;Sidra 1930 dolce x750cc;1930;Almacen;5148.01;8;https://www.google.com/search?tbm=isch&q=Sidra+1930+dolce+x750cc;
 7.790.154.008.122 ;Sidra 1930 pera x750cc;1930;Almacen;5148.01;9;https://www.google.com/search?tbm=isch&q=Sidra+1930+pera+x750cc;
 7.790.260.013.065 ;Licor 3 PLUMAS chocolate x700cc;3 PLUMAS;Almacen;6658.00;10;https://www.google.com/search?tbm=isch&q=Licor+3+PLUMAS+chocolate+x700cc;
 7.792.200.000.791 ;Sconcitos 9 DE ORO x200gr;9 DE ORO;Almacen;1157.99;11;https://www.google.com/search?tbm=isch&q=Sconcitos+9+DE+ORO+x200gr;
 7.792.200.000.128 ;Bizcochos 9 DE ORO agridulce x200gr;9 DE ORO;Almacen;1028.00;12;https://www.google.com/search?tbm=isch&q=Bizcochos+9+DE+ORO+agridulce+x200gr;
 7.792.200.000.159 ;Bizcochos 9 DE ORO clasicos x200gr;9 DE ORO;Almacen;1028.00;13;https://www.google.com/search?tbm=isch&q=Bizcochos+9+DE+ORO+clasicos+x200gr;
 7.792.200.000.319 ;Bizcochos 9 DE ORO azucarados x210gr;9 DE ORO;Almacen;1028.00;14;https://www.google.com/search?tbm=isch&q=Bizcochos+9+DE+ORO+azucarados+x210gr;
 2.086.734 ;Asado Patagonia Meat xkg;A;Almacen;9999.00;15;https://www.google.com/search?tbm=isch&q=Asado+Patagonia+Meat+xkg;
 7.791.093.000.024 ;Vino ABEL M. TORINO suc.blancox700cc;ABEL M. TORINO;Almacen;1910.00;16;https://www.google.com/search?tbm=isch&q=Vino+ABEL+M.+TORINO+suc.blancox700cc;
 7.791.093.000.017 ;Vino ABEL M. TORINO suc.tinto x700cc;ABEL M. TORINO;Almacen;1910.00;17;https://www.google.com/search?tbm=isch&q=Vino+ABEL+M.+TORINO+suc.tinto+x700cc;
 7.791.093.000.369 ;Vino ABEL M. TORINO abocado x700cc;ABEL M. TORINO;Almacen;1910.00;18;https://www.google.com/search?tbm=isch&q=Vino+ABEL+M.+TORINO+abocado+x700cc;
 7.792.870.019.918 ;Vino ABEL M. TORINO suc.tinto x1.125lt;ABEL M. TORINO;Almacen;2388.00;19;https://www.google.com/search?tbm=isch&q=Vino+ABEL+M.+TORINO+suc.tinto+x1.125lt;
 7.312.040.017.683 ;Vodka ABSOLUT x700/750cc;ABSOLUT;Almacen;22555.00;20;https://www.google.com/search?tbm=isch&q=Vodka+ABSOLUT+x700/750cc;
 7.312.040.350.056 ;Vodka ABSOLUT raspberry x700/750cc;ABSOLUT;Almacen;27073.00;21;https://www.google.com/search?tbm=isch&q=Vodka+ABSOLUT+raspberry+x700/750cc;
 7.790.990.002.988 ;Jabon liq ACE clasico d/p x3lt;ACE;Almacen;7414.00;22;https://www.google.com/search?tbm=isch&q=Jabon+liq+ACE+clasico+d/p+x3lt;
 7.791.600.272.593 ;Estuche ACQUA DI COLBERT deo + perfume;ACQUA;Almacen;21999.00;23;https://www.google.com/search?tbm=isch&q=Estuche+ACQUA+DI+COLBERT+deo+++perfume;
 7.790.407.031.013 ;Chocolate AGUILA negro x100gr;AGUILA;Almacen;4866.00;24;https://www.google.com/search?tbm=isch&q=Chocolate+AGUILA+negro+x100gr;
 7.790.407.031.273 ;Chocolate AGUILA negro x150gr;AGUILA;Almacen;6422.00;25;https://www.google.com/search?tbm=isch&q=Chocolate+AGUILA+negro+x150gr;
 7.790.580.315.405 ;Chocolate AGUILA barra x14gr;AGUILA;Almacen;1070.00;26;https://www.google.com/search?tbm=isch&q=Chocolate+AGUILA+barra+x14gr;
